Alexej Tripolic
Franz Turschitsch
Viktor Schmelzer
Wasil Stjeschko
Stanislaus Strychalski
Thadäus Siedlaczek
Adam 
Johann Subadolnik
Izrael Szäjer
Walentin Archipenko
Kostja Bajdusch
Georg Basanow
Anatol Anisimow
Jakow Amischenko
Jakow Balaschkow
Wasil Birko
Iwan Borodin
Anton Breuer
Jurij Chochlow
Wenzel Grauiner
Wladislaw Horejda
Nikolai Barbara
Jan Bednarczyk
Zbigniew Budzinski
Kasimier Bus
Elie Castex
Johann Dorfner
Adolf Kobylanski
Peter Küppers
Heinrich Treschtik
Kurt-Lar Wagner
Walentin Smirnov
Iwan Solowjow
Stanislaw Staniaozyk
Feodor Winegradew
Iwan Wodjaniskij
Karl Schlemser
Gregorij Wasiltschenko
Benedikt Chissola
Sergej Kojtschurenko
Iwan Schulid
Wasyl Stefanec
Frans Wohlfahrt
Iwan Blaschkow
Michael Chodosow
Fritz Dwojak
Michael Eschmann
Josef Fills
Nikelaij Firkewskij
Nikolaj Dudtschenko
Johann Flunt
Arthur Goldelf
Josef Gregarek
Mieczyslaw Gryme
Franz Javorsky
Tomasz Kalita
Willy Köhnke
Roman Kub-Siak
Nikolaj Gorjatschew
Stanislaus Jaworek
Iwan Bachur
Iwan Batjuta
Leonhard Belewski
Johann Stocker
Dawid Tremski
Iwan Silia
Albert Simonenko
Castmir Sladek
Wladislaus Soltys
Michail Sytsch
Daniel Stinis
Ludwig Steffen
Johann Widzies
Karl Schweizer
Petro Wojzun
Josef Kierspel
Wladimir Kiselow
Luka Koberidze
Gievanni Fortunato
Herbert Hanke
Theodor Hoppe
Joseph Kaminski
Michael Kadykal
Franz Kamienski
Igor Kasjanow
Johann Kochman
Iwan Teslenke
Feder 
Iwan Tschichman
Wiktor Tykal
Petro Siderow
Jaroslaw Smrbek
Wilhelm Berg
Willi Biermann
Hans Bottke
Petr Bowa
Konstantin Chadzopulos
Iwan Chondusenko
Albert Copi
Abram Izrael Dafner
Larion Demkin
Tadeas Dvorecki
Dimitrij Fokin
Josef Wimbauer
Petro Gotz
Stanislaw Grochowski
Alexander Jedrysiak
Ilno Katschan
Mikola Tsarkiwskij
Demetri Tschumak
Adam Ujma
Josef Sikera
Ladislaus Sowa
Stepan Tscherepenko
Peter Sokurenko
Josef Szesepanski
Franz Szynczak
Nikolai Schporiuk
Michael Dowschenko
Anton Godes
Iwan Iwanow
Wolodomir Janczuk
Jan Jasinski
Kasimir Jurga
Wasilij Karzew
Rupert Kirchmaier
Tadeucz Szesepanski
Paul Schroeder
Leon Kubinski
Karl Tobiasiewicz
Iwan Tschaban
Alexa Tschernyj
Nikolaj Sidorenko
Roman Skrzypczak
Iwan Smirnow
Anton Syrschacvsky
Wladimir Schterbina
Alex Schtscherbina
Michal Stahura
Karl Kiesl
Michael Kiljan
-Ademir Tasic
Ansil Simtschuk
Ulas Suprun
Hamerich Svadlenka
Wimieinaz Szyczkowski
August Schäfer
Wladimir Teljuk
Iwan Tersi
Petro Tscherednitschenko
Michaile Waraksa
Iwan Wasareitschuk
Nikolaj Skuridin
Wladislaw Sliwa
Oskar Schröder
Georgij Schtscherba
Albin Spruk
Edward Szwengel
Albert Schmidt
Wiatscheslav Stscherbako
Pierre Teyssler
Robert Vogl
Roman Wacskowski
Iwan Sirik
Wasilij Surowsow
Stepan Schigula
Viktor Kurilenko
Andrij Kutscherenko
Dimitry Skiba
Felko Wischinski
Andrej Wjunitschenko
Eugen Wendlandt
Iwan Stadnik
Wladimir Winiarski
Iwan Wlasenko
Wladimir Alotkin
Raymond Lecsigneur
-Ime Lisica
Tomasz Madry
Michailo Moros
Rudolf Mukavec
Feodor Nachmetow
Richard Nagel
Aleksej Pawlow
Wladislaw Miazga
Iwan Mogilnikow
Iwan Naumenke
Boris Litwin…
Michael Majkowski
Alex Malinowskij
Robert Mayer
Dimitri Melnjtschenko
Pantaleon Michalewski
Alex Morecko
Felix Mozdziers
Josef Nauerschnig
Pietr Kurdsial
Jakow Kutscher
Henryk Kwiatkowski
Jan Kwiatkowski
Andreas Pich
Wladimir Pintschuk
Otto Bachmann
Franz Altenberg
Andrej Labur
Marian Kuty
Iljko Kutscherenko
Oskar Mannheim
Jakiw Mikelajenko
Michail Petrosawenko
Pawlo Murenschenko
Iwan Netschiporenko
Ladislana Witek
Leonid Kuznisow
Hans Max
Stanislaus Napora
Eugen Pawlowski
Asmus-Thomas Lorensen
Wladimir Anatjew
Wasilij Pilipak
Wiessel Lisiecki
Zdenek Mach
Adolf Malner
Michael Morosow
Petre Laschakew
Andreas Maluta
Anton Moucha
Iwan Nediltschenko
Wladimir Ljaschenko
Nijo Lokas
Michael Memruk
Cvetko Misolic
Antonin Mrazek
Semen Mykolasriko
Ilko Leniz
Igast Martschuk
Boleslaw Mijejowski
Iwan Nemew
Martin Neumann
Sergej Krupenin
Michael Martinenko
Simon Mielnik
Anton Mirling
Wassil Nidostop
Sigismund Pawlowski
Adolf Abrat
Erwin Alkier Von
Feodor Agejenko
Petre Kuzap
Kasimir Kwas
Ladislaus Pindel
Fritz Lustig
Karl Mandler
Wladimir Mizik
Amir Musie
Josef Percie
Aleksandr Petrow
Bronislaw Pilatowski
Georg Brahm
Eugen Czajkowski
Franko Drabaj
Iwan Dubrowtschenko
Frans Lutz
Michaile Moldenna
Wladimir Alexandrow
Josef Langenwalter
Stefan Kurec
Richard Laski
Vincent Lasic
Iwan Maker
Stanislaus Malinowski
Fritz Luber
Anton Manbatsberger
Leon Mikess
Frans Müller
Petr Mach
Dmitro Pawljuk
Pawlo Petrow
Johann Petrow
Johann Lack
Andre Lejeone
Hugo Leske
Alexander Lipinski
Dante Maestroni
Nikolaj Mileschke
Olena Mischtschenko
Iwan Mutnizkij
Wasil Netschjajuk
Alexej Molokejedow
Pasko Nakio
Iwan Petrenko
Wasilij Kutlunia
Stefan Lahols
Sergej Pawlutschenko
Osyp Peleszok
Josef Petzl
Vikolaj Lisenko
Wladimir Lukaschewitsch
Iwan Markowie
Josef Matusiak
Czeslaus Miara
Konstantin Michailow
Jakob Mikaz
Wasilij Makogon
Ignatz Matega
Semen Perschogaba?
Iwan Pawlenko
Iwan Kurjate
Aleksandr Kuwardis
Aleksander Moltschanow
Marian Nazimek
Anton Petz
Michael Filipew
Stefan Gulko
Stanislaus Jurczyk
Petro Jusecbowitsch
Alexander Kurilo
Alexander Kurlekis
Vladimir Kurotschks
Nikelaj Kuz
Jakob Logar
Petro Mirenenko
Alexej Mischnew
Karl Lehner
Nikolaj Medwanikow
Marian Miduch
Aleksander Morzyk
Roman Nanke
Ignac Schimmerling
Henryk Schwächter
Edit Schwächter
Awrum Posner
Matel Posner
Chaim Teichman
Szprinca Zimerman
Dawid Klein
Carka Klein
Fryda Posner
Lajbek Edelstein
Wowek Posner
Ryfka Edelstein
Szprinca Teichman
Balcia Posner
Uszer Edelstein
Jona Posner
Chana Posner
Szprinca Klein
Minda Zimerman
Chemia Edelstein
Icek Posner
Raca Diamant
Adam Ostaptschuk
Chaja Langfus
Nechemia Huterer
Alois Pietrewicz
Walter Pietzsch
Petro Pogodituch
Gregorwij Ponomor
Josef Prsygeski
Iwan Pschenitschka
Iwan Rjadnenks
Iwan Melnik
Alexander Moskalew
Heinrich Pawlowski
Vladimir Kwasikow
Andrij Lj-Bech
Wadim Andolenko
Lucjan Makiela
Czeslaw Pazdziow
Theodor Linek
Giuseppe Vasallo
Wasil Slisenki
Johann Szesepanik
Hans Malberg
Kug------ Melnik
Peter Michniewski
Pawlo Mireschnik
Bogdan Nedbala
Johann Penc
Lo
Mieczisl Machura
Josef Marek
Grigorij Maskin
Dimitrij Mesew?Ja
Michail Moskalenko
Wasil Naliwko
Adolf Macesek
Wladimir Melnik
Petro Michaltschenko
Ludwig Morka
Nikola Mospen
Milko Michaltschin
Wladimir Pawlowicz
Mitro Pidebod
Petro Pilipenko
Wladyslaw Pischinskij
Iwan Alchimow
Lazar Permis
Wladimir Mamaj
Boleslaw Monkiewicz
Josef Pietrzyk
Stefan Labant
Petro Michidjenko
Wassil Mojsa
Stanislaus Pecar
Marian Piekarski
Andrej Pilipenko
Valentin Lichosin
Alexander Kurmanow
Nikolaus Arnold
Alexander Lisowej
Franz Marx
Michael Matlasbow
Fedor Maximowitsch
Josef Motyl
Julian Nabielski
Nikolaj Budrow
Iwan Butenko
Bronislaw Chomiak
Robert Coigneau
Otto Isr Delikat
Wladislaus Druzgala
Pawel Pawlow
Franciszek Pilak
Petre Galaka
""
Rudolf Hajek
Fra--- Halitski
Iwan Kapsebutschenko
Walentyn Kata
Zachar Katz
Johann Trocki
Hersch Jzr Wajosztok
Michael Sipakow
Anatol Smigelski
Eugen Schaptala
Konrad Schuhmann
Moritz Schweigler
Jan Wlech
Wladimir Lisowij
Andreas Listew?Ki
Michael Masmok
Juda Cardozo
Józef Wulkan
Berta Silbiger
Sala Wulkan
Chaje Wasserleil
Regina Rotzbach
Rozia Meruk
Eli Goldberg
Marian Gandzlik
Mouryey Bodner
Henryk Badar
Jan Gerstel
Julius Hamburger
Lisa Guttmannowa
Renée Guttmannowa
Rudolf Grünfeld
David Hecht
Marianne Hauserowa
Soltan Grünwald
Josef Brunner
Herbert Glaser
Frantisek Goldner
Paul Sao
Theodore Helter
Adrej Salaj
Richard Hochwalder
Josef Weils
Max Feigel
Guido Weiss
Marek Steiner
Karlo Albin
Richard Neumann
Erika Lemberger
Serena Weiss
Friedrich Löwenbach
Anton Breiner
Frida Spirova
Josefa Straussova
Edmund Lövi
Mira Weiss
Fulop Singer
Julius Schwarz
Ernst Spitz
Regina Levinger
Juliana Schonlo
Moric Gsale
Pavel Schlesinger
Samuel Weil
Viktor Schneck
Pavel Strenwasseren
Miklos Schreter
Eva Weissova
Bertalan Stern
Arnold Schueck
Tibor Schwarz
Josef Tischmann
Berta Weinheberova
Elisabeth Kalmar
Rudolf Kaufmann
Eva Traub
Majer Klein
Leser Knaster
Chaim Weiss
Ernest Weiss
Ossis Weissfisch
Robert Steiner
Maximilian Fischer
Heda Pechanova
Elisabeth Schinkowa
Otto Fiser
Henrika Magyova
Dezider Rotstein
Richard Schulc
Ludzvik Kohn
Elia Fermann
Edita Gruberowa
Robert Fröhlich
Marcel Kohn
Lipman Rosenfeld
Irma Wedrerowa
D Kornfeld
Josef Fischer
Gertrude Kohnowa
Robert Schlesinger
Ewa Schueckova
Maximilian Schwarz
Olga Grossmannowa
Josef Schik
Sapaza Jakobowicz
Eva Schneckowa
Juliana Szonlo
Elisabeth Schuckova
Alexander Feldmann
Henriette Feldmann
Isaak Frise
Arpad Fuchs
Walter Presser
Armin Reichenbaum
Vilem Friedler
Julius Fleischmann
Liana Weissberger
Gert Pfefferborn
Adolf Rotter
Alexander Maks
Charlotta Kohnoca
Andre Blitz
Georg Fischer
Salomon Mandel
Kalerma Beerowa
 Kadlecz
Maria Nezredal
Jakir Kudl
Josef Rosenwasser
Alexander Rotenberg
Oskar Grün
 Joway
Szalat Jolanowa
Adolf Weiss
Sari Grossmannowa
Fride Bergido
Gejza Buchsbaum
Hermina Berkowiczow
Ladislav Stein
Tereze Freundowa
Oskar Fantel
Ignaz Frenkel
Karl Hermann
Karo Adler
Franz Lederer
Vera Kufler
Friedrich Zuckermann
Josef Schick
Ivan Krasiniasukij
Lea Rosenwasserova
Josef Flesoa
Vera Grossmannowa
Alice Grünbaumowa
Gyulanne Helsenberg
Bernard Reismann
Marta Weissova
Emma Steinberg
Viktor Schueck
Bruno Fischer
Adolf Kraus
Saul Hutterer
Samuel Jacób Geldwerth
Wolf Hutrer
Rosalia Neugróschl
Dobe Leie Kraus
Sara Wachs
Bala Nelken
Akyba Koszycki
Szajndla Koszycka
Josef Matzner
Ferdynand Finder
Mandel Langer
Dora Neufeld
Saul Hutterer
Fanny Schimmel-Mendere
Pinkus Silbiger
Meiler Haupschein
Dawid Haupschein
Pinkus Silbiger
Moszek Raicherwski
Ola Bochner
Estusia Haberman
Claudio De Benedetti
Adi Reich
Kurt Lebewol
Ewunia Szulc
Rene Lob
Emanuel Van Loger
Greta Lopeskarder
Amalia Juker
Moritz Wrachdoender
Jakob De Wries
Regina Pinkus
Banhe Tauber
Daute Tedesci
Jack Teebaum
Samuel Abramow
Edica About
Jacques Lubetzki
Berla Luxemburg
Izak Bisch
Ester Cohen
Franz Cohen
Jeanne Coismar
Manria Commermann
Barend Comparts
Rene Conbran
Hugon Cordier
Charles Coroscau
Ruchla Wuhrman
Juda Wurmus
Klara Vab Pela
Bea Veisenbeck
Eddy De Vind
Eger Vorthalter
Siendze Vuisge
Dawid Vujajae
Joseph Amsellen
Renee Andlaner
Jim Antcar
Helena Appel
Joanna Apel
Josef Justitz
Albett Kabassof
Basza Katz
Ernst Lustig
Jacob Platvoch
Andor Glatz
Anna Zaikudowa
